name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Twilight Struggle,1,2005,"Action Point Allowance System, Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling","Modern Warfare, Political, Wargame","Strategy Games, Wargames",180 minutes,13 and up,14 and up,"Twilight Struggle: ""Anni di Piombo"" Promo Card, Twilight Struggle: ""Pakt Bagdadzki"" and ""Stan Wojenny"" Promo Cards, Twilight Struggle: ""Referendum NATO"" Promo Card, Twilight Struggle: What If?",Extensive use of text - massive conversion needed to be playable,"2005 Charles S. Roberts Best Modern Era Boardgame Nominee, 2005 Charles S. Roberts Best Modern Era Boardgame Winner, 2005 James F. Dunnigan Award Nominee, 2005 James F. Dunnigan Award Winner",2,Best with 2 players,1,null,8.34,1.60
Terra Mystica,2,2012,"Route/Network Building, Variable Player Powers","Civilization, Economic, Fantasy, Territory Building",Strategy Games,60150 minutes,12 and up,12 and up,"Terra Mystica: 4 Town Tiles, Terra Mystica: Bonus Card Shipping Value, Terra Mystica: Erweiterungsbogen, Terra Mystica: Fire & Ice",No necessary in-game text,"2012 Jogo do Ano Nominee, 2012 Meeples' Choice Nominee, 2012 Meeples' Choice Winner, 2013 Deutscher Spiele Preis Best Family/Adult Game Winner",25,Best with 4 players,14755,8.29,1.47,1511814
Caverna: The Cave Farmers,3,2013,"Tile Placement, Worker Placement","Animals, Economic, Farming",Strategy Games,30210 minutes,12 and up,12 and up,"Caverna: Christmas Chamber, Caverna: LARP and Cosplay Postcard, Caverna: Mini Expansion, Caverna: Water Features",Moderate in-game text - needs crib sheet or paste ups,"2013 Golden Geek Best Board Game Artwork/Presentation Nominee, 2013 Meeples' Choice Nominee, 2014 Guldbrikken Best Adult Game Nominee, 2014 Guldbrikken Best Adult Game Winner",17,Best with 4 players,9589,8.28,1.40,933164
Through the Ages: A Story of Civilization,4,2006,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management","Civilization, Economic",Strategy Games,240 minutes,12 and up,14 and up,"BGO Extended 2.0 expansion (fan expansion for Through the Ages), Cywilizacja: Poprzez wieki  Polski dodatek 1, Cywilizacja: Poprzez wieki  Polski dodatek 2, Through the Ages: A Story of Civilization  Czech expansion",Extensive use of text - massive conversion needed to be playable,"2007 Golden Geek Best Gamer's Board Game Nominee, 2007 International Gamers Awards - General Strategy; Multi-player, 2008 Golden Geek Best Card Game Nominee, 2008 Golden Geek Best Gamer's Board Game Nominee",24,Best with 3 players,13397,8.20,1.64,1941834
Puerto Rico,5,2002,Variable Phase Order,"City Building, Economic, Farming",Strategy Games,90150 minutes,12 and up,12 and up,"Haiti (fan expansion for Puerto Rico), Puerto Rico: Expansion I  New Buildings, Puerto Rico: Expansion II  The Nobles, Treasure Chest",Moderate in-game text - needs crib sheet or paste ups,"2002 Deutscher Spiele Preis Best Family/Adult Game Winner, 2002 Essener Feder Best Written Rules Winner, 2002 Japan Boardgame Prize Best Advanced Game Nominee, 2002 Japan Boardgame Prize Best Advanced Game Winner",25,Best with 4 players,40160,8.14,1.40,2474521
Agricola,6,2007,"Area Enclosure, Card Drafting, Hand Management, Worker Placement","Animals, Economic, Farming",Strategy Games,30150 minutes,12 and up,12 and up,"Agricola CZ-Deck, Agricola Ereigniskarten, Agricola L-Deck, Agricola X-Deck",Extensive use of text - massive conversion needed to be playable,"2007 Meeples' Choice Award, 2008 Deutscher Spiele Preis Best Family/Adult Game Winner, 2008 Golden Geek Best 2-Player Board Game Nominee, 2008 Golden Geek Best Board Game Artwork/Presentation Nominee",15,Best with 34 players,39995,8.12,1.56,3043724
Android: Netrunner,7,2012,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers","Bluffing, Card Game, Science Fiction",Customizable Games,45 minutes,14 and up,12 and up,"Android: Netrunner  A Study in Static, Android: Netrunner  All That Remains, Android: Netrunner  Breaker Bay, Android: Netrunner  Business First",Extensive use of text - massive conversion needed to be playable,"2012 Golden Geek Best 2-Player Board Game Nominee, 2012 Golden Geek Best Card Game Nominee, 2012 Golden Geek Best Card Game Winner, 2012 Golden Geek Golden Geek Best 2-Player Board Game Winner",2,Best with 2 players,15517,8.16,1.61,3272816
Mage Knight Board Game,8,2011,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling","Adventure, Exploration, Fantasy, Fighting","Strategy Games, Thematic Games",150 minutes,14 and up,14 and up,"Mage Knight Board Game: Krang Character Expansion, Mage Knight Board Game: Shades of Tezla Expansion, Mage Knight Board Game: The Lost Legion",Extensive use of text - massive conversion needed to be playable,"2012 Golden Geek Best Board Game Artwork/Presentation Nominee, 2012 Golden Geek Best Innovative Board Game Nominee, 2012 Golden Geek Best Strategy Board Game Nominee, 2012 Golden Geek Best Thematic Board Game Nominee",14,Best with 12 players,8,null,8.16,1.59
The Castles of Burgundy,9,2011,"Dice Rolling, Set Collection, Tile Placement, Variable Player Powers","Dice, Medieval, Territory Building",Strategy Games,3090 minutes,12 and up,12 and up,"Brettspiel Adventskalender 2015, The Castles of Burgundy: 1st Expansion  New Player Boards, The Castles of Burgundy: 2nd Expansion  New Hex Tiles, The Castles of Burgundy: 3rd Expansion  German Board Game Championship Board",No necessary in-game text,"2011 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2011 Golden Geek Best Strategy Board Game Nominee, 2011 International Gamers Award - General Strategy; Multi-player Nominee, 2011 Meeples' Choice Award",24,Best with 2 players,15770,8.08,1.22,952721
Eclipse,10,2011,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board","Civilization, Fighting, Science Fiction, Space Exploration",Strategy Games,60200 minutes,14 and up,12 and up,"Eclipse: Black Hole, Eclipse: Elders of the Solstice, Eclipse: Minions of the Solstice, Eclipse: Nebula",No necessary in-game text,"2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2011 Jogo do Ano Nominee, 2012 Golden Geek Best Board Game Artwork/Presentation Nominee, 2012 Golden Geek Best Innovative Board Game Nominee",26,"Best with 4, 6 players",15890,8.08,1.48,2093877
Star Wars: Imperial Assault,11,2014,"Dice Rolling, Grid Movement, Modular Board, Partnerships","Adventure, Exploration, Fighting, Miniatures",Thematic Games,90 minutes,,12 and up,"Star Wars: Imperial Assault  Alliance Smuggler Ally Pack, Star Wars: Imperial Assault  Bantha Rider Villain Pack, Star Wars: Imperial Assault  Boba Fett Villain Pack, Star Wars: Imperial Assault  Chewbacca Ally Pack",Extensive use of text - massive conversion needed to be playable,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Thematic Board Game Nominee, 2014 Golden Geek Board Game of the Year Nominee, 2014 Meeples' Choice Nominee",25,"Best with 2, 5 players",4353,8.42,1.42,1054976
Power Grid,12,2004,"Auction/Bidding, Route/Network Building","Economic, Industry / Manufacturing",Strategy Games,120 minutes,12 and up,12 and up,"Atolla Modulis (fan expansion for Funkenschlag), Brettspiel Adventskalender 2015, Funkenschlag: Speicherkraftwerk, Hoogspanning: Het Verre Oosten",No necessary in-game text,"2004 International Gamers Awards - General Strategy; Multi-player Nominee, 2004 Meeples' Choice Award, 2004 Tric Trac d'Argent, 2004 Tric Trac Nominee",26,Best with 45 players,34706,7.99,1.33,1892951
War of the Ring (second edition),13,2012,"War of the Ring: Lords of Middle-earth, War of the Ring: Lords of Middle-earth  Treebeard Mini-Expansion, War of the Ring: Warriors of Middle-earth","Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling","Adventure, Dice, Fantasy, Miniatures",150 minutes,13 and up,14 and up,War of the Ring (first edition),Extensive use of text - massive conversion needed to be playable,Thematic Games,24,Best with 2 players,3964,8.35,1.60,558673
Robinson Crusoe: Adventures on the Cursed Island,14,2012,"Co-operative Play, Dice Rolling, Modular Board, Simultaneous Action Selection","Adventure, Exploration, Novel-based",Thematic Games,90180 minutes,14 and up,12 and up,"Robinson Crusoe: Adventure on the Cursed Island  Beach Card Mini Expansion, Robinson Crusoe: Adventure on the Cursed Island  Beast Cards, Robinson Crusoe: Adventure on the Cursed Island  Dreadful adventure on the King Kong Island, Robinson Crusoe: Adventure on the Cursed Island  Gamer character",Extensive use of text - massive conversion needed to be playable,"2013 Golden Geek Best Board Game Artwork/Presentation Nominee, 2013 Golden Geek Best Innovative Board Game Nominee, 2013 Golden Geek Best Thematic Board Game Nominee, 2013 Golden Geek Best Thematic Board Game Winner",14,Best with 3 players,10815,8.09,1.41,1367295
Le Havre,15,2008,Worker Placement,"City Building, Economic, Industry / Manufacturing, Nautical",Strategy Games,100200 minutes,12 and up,12 and up,"Le Havre Expansion: Essen Promo Cards, Le Havre: Le Grand Hameau, Le Havre: Le Grand Hameau  Rattletrap car, Le Havre: Le Grand Hameau  Tablet with App",Moderate in-game text - needs crib sheet or paste ups,"2008 Jogo do Ano Nominee, 2008 Meeples' Choice Award, 2009 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2009 Golden Geek Best 2-Player Board Game Nominee",15,Best with 3 players,15895,7.99,1.44,1239592
Brass,16,2007,"Hand Management, Route/Network Building","Economic, Industry / Manufacturing, Transportation",Strategy Games,120180 minutes,13 and up,14 and up,Catalonia (fan expansion for Brass),No necessary in-game text,"2007 Jogo do Ano, 2007 Jogo do Ano Nominee, 2007 Meeples' Choice Award, 2008 Golden Geek Best Gamer's Board Game Nominee",34,Best with 4 players,8857,8.03,1.47,869833
Tzolk'in: The Mayan Calendar,17,2012,"Set Collection, Worker Placement","Ancient, Civilization, Economic, Farming",Strategy Games,90 minutes,13 and up,12 and up,"Tzolk'in: The Mayan Calendar  Mini Expansion 1, Tzolk'in: The Mayan Calendar  Mini Expansion 2, Tzolk'in: The Mayan Calendar  Tribes & Prophecies",No necessary in-game text,"2012 Jogo do Ano Nominee, 2012 Meeples' Choice Nominee, 2012 Meeples' Choice Winner, 2012 Swiss Gamers Award Winner",24,Best with 4 players,12389,7.98,1.26,754865
Dead of Winter: A Crossroads Game,18,2014,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling","Bluffing, Horror, Zombies",Thematic Games,45210 minutes,14 and up,12 and up,"Dead of Winter: Andrea Smith, Dead of Winter: Dice Tower Promos, Dead of Winter: Felicia Day, Dead of Winter: Kodiak Colby",Extensive use of text - massive conversion needed to be playable,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Innovative Board Game Winner, 2014 Golden Geek Best Thematic Board Game Nominee",25,Best with 4 players,9762,8.05,1.41,972916
7 Wonders,19,2010,"Card Drafting, Set Collection, Simultaneous Action Selection, Variable Player Powers","Ancient, Card Game, City Building, Civilization","Family Games, Strategy Games",30 minutes,10 and up,10 and up,"7 Wonders: Babel, 7 Wonders: Catan, 7 Wonders: Cities, 7 Wonders: Leaders",No necessary in-game text,"2011 Spiel des Jahres Kennerspiel des Jahres Winner, 2010 Meeples' Choice Award, 2010 Swiss Gamers Award Winner, 2010 Tric Trac d'Or",27,Best with 4 players,1,null,7.87,1.27
Caylus,20,2005,Worker Placement,"City Building, Economic, Medieval",Strategy Games,60150 minutes,12 and up,12 and up,Caylus Expansion: The Jeweller,No necessary in-game text,"2005 Meeples' Choice Award, 2005 Tric Trac d'Or, 2005 Tric Trac Nominee, 2006 Deutscher Spiele Preis Best Family/Adult Game Winner",25,Best with 3 players,19268,7.90,1.49,1366728
Keyflower,21,2012,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver","City Building, Economic, Nautical, Renaissance",Strategy Games,90120 minutes,12 and up,12 and up,"Keyflower: Beekeeper, Keyflower: Emporium & Monument, Keyflower: Key Celeste, Keyflower: Pig Shelter",No necessary in-game text,"2012 Jogo do Ano Nominee, 2012 Jogo do Ano Winner, 2012 Meeples' Choice Nominee, 2012 Meeples' Choice Winner",26,Best with 4 players,6922,7.98,1.24,518387
Dominion: Intrigue,22,2009,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval",Strategy Games,30 minutes,13 and up,10 and up,"Dominion: Adventures, Dominion: Alchemisten & Reiche Ernte  Mixbox, Dominion: Alchemy, Dominion: Black Market Promo Card",Moderate in-game text - needs crib sheet or paste ups,"2009 Fairplay  la carte Winner, 2009 Golden Geek Best Board Game Expansion Nominee, 2009 Golden Geek Best Card Game Nominee, 2009 Japan Boardgame Prize Voters' Selection Nominee",24,Best with 3 players,19412,7.85,1.35,742905
Dominant Species,23,2010,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board","Animals, Environmental, Prehistoric",Strategy Games,120240 minutes,14 and up,14 and up,Evolution,Moderate in-game text - needs crib sheet or paste ups,"2010 Jogo do Ano Nominee, 2011 Golden Geek Best Innovative Board Game Nominee, 2011 Golden Geek Best Strategy Board Game Nominee, 2011 Golden Geek Best Strategy Board Game Winner",26,Best with 4 players,10301,7.89,1.49,931059
Race for the Galaxy,24,2007,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Card Game, Civilization, Economic, Science Fiction",Strategy Games,3060 minutes,12 and up,12 and up,"Patronage (fan expansion to Race for the Galaxy), Race for the Galaxy: Alien Artifacts, Race for the Galaxy: Rebel vs Imperium, Race for the Galaxy: The Brink of War",Some necessary text - easily memorized or small crib sheet,"2007 Meeples' Choice Award, 2008 Fairplay  la carte Winner, 2008 Golden Geek Best 2-Player Board Game Nominee, 2008 Golden Geek Best Board Game Artwork/Presentation Nominee",24,"Best with 2, 4 players",28873,7.80,1.50,1917996
Star Wars: X-Wing Miniatures Game,25,2012,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection","Aviation / Flight, Collectible Components, Miniatures, Movies / TV / Radio theme","Customizable Games, Wargames",60 minutes,14 and up,10 and up,"Star Wars: X-Wing Miniatures Game  A-Wing Expansion Pack, Star Wars: X-Wing Miniatures Game  B-Wing Expansion Pack, Star Wars: X-Wing Miniatures Game  E-Wing Expansion Pack, Star Wars: X-Wing Miniatures Game  Ghost Expansion Pack",Moderate in-game text - needs crib sheet or paste ups,"2012 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2012 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Winner, 2012 Meeples' Choice Nominee, 2013 As d'Or - Jeu de l'Anne Nominee",24,Best with 2 players,4,null,7.93,1.38
El Grande,26,1995,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting",Renaissance,Strategy Games,60120 minutes,12 and up,12 and up,"The El Grande Expansions, El Grande: Grandissimo, El Grande: Grossinquisitor und Kolonien, El Grande: Knig & Intrigant",Moderate in-game text - needs crib sheet or paste ups,"1995 Meeples' Choice Award, 1996 Deutscher Spiele Preis Best Family/Adult Game Winner, 1996 Spiel des Jahres Winner, 1997 rets Spil Best Adult Game Winner",25,Best with 5 players,15941,7.83,1.34,949620
Eldritch Horror,27,2013,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers","Adventure, Fantasy, Fighting, Horror",Thematic Games,120240 minutes,14 and up,14 and up,"Eldritch Horror: Forsaken Lore, Eldritch Horror: Mountains of Madness, Eldritch Horror: Strange Remnants, Eldritch Horror: Under the Pyramids",Extensive use of text - massive conversion needed to be playable,"2013 Golden Geek Best Board Game Artwork/Presentation Nominee, 2013 Golden Geek Best Thematic Board Game Nominee",18,Best with 4 players,8674,7.97,1.44,949025
Lords of Waterdeep,28,2012,"Set Collection, Take That, Worker Placement","City Building, Fantasy",Strategy Games,60 minutes,12 and up,10 and up,"Lords of Waterdeep: Inevitable Betrayal Promo Card, Lords of Waterdeep: Rapid Expansion Promo Card, Lords of Waterdeep: Scoundrels of Skullport",Moderate in-game text - needs crib sheet or paste ups,"2012 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2012 ENnie for Best RPG Related Product Nominee, 2012 ENnie for Best RPG Related Product Silver Winner, 2012 Golden Geek Best Board Game Artwork/Presentation Nominee",25,Best with 34 players,20227,7.82,1.25,989072
Battlestar Galactica,29,2008,"Area Movement, Co-operative Play, Dice Rolling, Hand Management","Bluffing, Deduction, Movies / TV / Radio theme, Negotiation",Thematic Games,120240 minutes,10 and up,14 and up,"Battlestar Galactica: Daybreak Expansion, Battlestar Galactica: Exodus Expansion, Battlestar Galactica: Official Variant Rules, Battlestar Galactica: Pegasus Expansion",Extensive use of text - massive conversion needed to be playable,"2009 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2009 Golden Geek Best Board Game Artwork/Presentation Nominee, 2009 Golden Geek Best Gamers' Board Game Nominee, 2009 Golden Geek Best Innovative Board Game Nominee",36,Best with 5 players,21001,7.83,1.53,1575542
Twilight Imperium (Third Edition),30,2005,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter","Civilization, Negotiation, Political, Science Fiction","Strategy Games, Thematic Games",180240 minutes,12 and up,14 and up,"Twilight Imperium (Third Edition): Shards of the Throne, Twilight Imperium (Third Edition): Shattered Empire",Extensive use of text - massive conversion needed to be playable,"2006 Golden Geek Best Gamer's Board Game Nominee, 2006 Golden Geek Best Wargame Nominee",36,Best with 6 players,24,null,7.89,1.67
Dominion,31,2008,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval",Strategy Games,30 minutes,13 and up,10 and up,"The Books of Magic (Fan Expansion for Dominion), Dominion: Adventures, Dominion: Alchemisten & Reiche Ernte  Mixbox, Dominion: Alchemy",Moderate in-game text - needs crib sheet or paste ups,"2008 Meeples' Choice Award, 2008 Origins Awards Best Traditional Card Game Winner, 2009 As d'Or - Jeu de l'Anne Nominee, 2009 Deutscher Spiele Preis Best Family/Adult Game Winner",24,Best with 3 players,44738,7.77,1.43,2615593
The Resistance: Avalon,32,2012,"Memory, Partnerships, Simultaneous Action Selection, Variable Player Powers","Bluffing, Card Game, Deduction, Fantasy",Party Games,30 minutes,13 and up,12 and up,The Resistance: Avalon Promos,Some necessary text - easily memorized or small crib sheet,"2013 Golden Geek Best Party Board Game Nominee, 2013 Guldbrikken Special Jury Prize Winner",510,Best with 78 players,9885,7.85,1.48,437245
Tigris & Euphrates,33,1997,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement","Ancient, Civilization, Territory Building",Strategy Games,90 minutes,12 and up,12 and up,Euphrat & Tigris: Die Zikkurat,No necessary in-game text,"1997 Meeples' Choice Award, 1998 Deutscher Spiele Preis Best Family/Adult Game Winner, 1998 Spiel des Jahres Recommended",24,Best with 4 players,17853,7.76,1.49,1280133
War of the Ring (first edition),34,2004,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven","Adventure, Dice, Fantasy, Novel-based","Thematic Games, Wargames",180 minutes,12 and up,14 and up,War of the Ring: Battles of the Third Age,Extensive use of text - massive conversion needed to be playable,"2004 Lucca Games Best Original Game, 2004 Tric Trac Nominee, 2005 International Gamers Awards - General Strategy; Two-players, 2005 Japan Boardgame Prize Best Advanced Game Nominee",24,Best with 2 players,7,null,7.85,1.60
Five Tribes,35,2014,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection","Arabian, Mythology",Strategy Games,4080 minutes,13 and up,12 and up,"Five Tribes: Dhenim, Five Tribes: The Artisans of Naqala, Five Tribes: Wilwit",No necessary in-game text,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Strategy Board Game Nominee, 2014 Golden Geek Best Strategy Board Game Winner",24,(Not best with any number),7772,7.85,1.25,448999
Roll for the Galaxy,36,2014,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Player Powers","Dice, Science Fiction, Space Exploration",Strategy Games,45 minutes,13 and up,12 and up,Roll for the Galaxy: Ambition,Moderate in-game text - needs crib sheet or paste ups,"2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Strategy Board Game Nominee, 2014 Golden Geek Board Game of the Year Nominee, 2014 Meeples' Choice Nominee",25,Best with 3 players,5060,7.93,1.27,480728
Mage Wars Arena,37,2012,"Dice Rolling, Grid Movement, Simultaneous Action Selection, Variable Player Powers","Card Game, Fantasy, Fighting",Customizable Games,90 minutes,13 and up,12 and up,"Mage Wars Arena: Battlegrounds Domination, Mage Wars Arena: Promo Pack 01, Mage Wars: Akiros Gunst Promokarte, Mage Wars: Altar of Peace Promo Card",Moderate in-game text - needs crib sheet or paste ups,"2013 Golden Geek Best 2-Player Board Game Nominee, 2013 Golden Geek Best Card Game Nominee, 2013 International Gamers Award - General Strategy: Two-players Nominee, 2013 Origins Awards Best Board Game Nominee",2,Best with 2 players,4773,8.04,1.54,864887
Trajan,38,2011,"Area Movement, Card Drafting, Hand Management, Set Collection","Ancient, Political",Strategy Games,90 minutes,12 and up,12 and up,"Ancient Rome, Quined Master Print Edition Series",No necessary in-game text,"2011 Jogo do Ano Nominee, 2012 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2012 Golden Geek Best Innovative Board Game Nominee, 2012 Golden Geek Best Strategy Board Game Nominee",24,Best with 4 players,6987,7.84,1.35,523196
A Game of Thrones: The Board Game (Second Edition),39,2011,"Area Control / Area Influence, Area Movement, Auction/Bidding, Player Elimination","Bluffing, Fantasy, Negotiation, Novel-based",Strategy Games,120240 minutes,14 and up,14 and up,"A Game of Thrones: The Board Game (Second Edition)  A Dance with Dragons, A Game of Thrones: The Board Game (Second Edition)  A Feast for Crows",Some necessary text - easily memorized or small crib sheet,"2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2013 Ludoteca Ideale Official Selection Winner",36,Best with 6 players,12134,7.81,1.47,1069409
Descent: Journeys in the Dark (Second Edition),40,2012,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management","Adventure, Exploration, Fantasy, Fighting",Thematic Games,120 minutes,14 and up,10 and up,"Descent: Journeys in the Dark (Second Edition)  Alric Farrow Lieutenant Pack, Descent: Journeys in the Dark (Second Edition)  Ardus Ix'Erebus Lieutenant Pack, Descent: Journeys in the Dark (Second Edition)  Ariad Lieutenant Pack, Descent: Journeys in the Dark (Second Edition)  Belthir Lieutenant Pack",Extensive use of text - massive conversion needed to be playable,2012 Golden Geek Best Thematic Board Game Nominee,25,Best with 5 players,9861,7.82,1.47,1755907
Crokinole,41,1876,,"Admin: Better Description Needed!, Crokinole, Finger Flicking Games",Partnerships,30 minutes,8 and up,No necessary in-game text,,,Action / Dexterity,24,,6274,7.81,1.66,523026
Russian Railroads,42,2013,Worker Placement,"Industry / Manufacturing, Trains",Strategy Games,90120 minutes,12 and up,12 and up,"Russian Railroads: German Railroads, Russian Railroads: Mini-Expansion",No necessary in-game text,"2013 Meeples' Choice Nominee, 2013 Meeples' Choice Winner, 2014 Deutscher Spiele Preis Best Family/Adult Game Winner, 2014 Gouden Ludo Nominee",24,Best with 4 players,5526,7.85,1.26,338425
Pandemic,43,2007,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement",Medical,"Family Games, Strategy Games",45 minutes,8 and up,10 and up,"Pandemic: In the Lab, Pandemic: On the Brink, Pandemic: Promo Roles, Pandemic: State of Emergency",Some necessary text - easily memorized or small crib sheet,"2008 Golden Geek Best 2-Player Board Game Nominee, 2008 Golden Geek Best Board Game Artwork/Presentation Nominee, 2008 Golden Geek Best Family Board Game Nominee, 2008 Golden Geek Best Gamer's Board Game Nominee",24,Best with 4 players,4,null,7.66,1.29
Nations,44,2013,"Card Drafting, Variable Player Powers","Card Game, Civilization, Economic",Strategy Games,40200 minutes,14 and up,14 and up,"Nations Promo Pack 2014: Inspiration, Nations: Dynasties, Nations: Grand Duchy of Finland promo card, Nations: Hagia Sophia promo card",Moderate in-game text - needs crib sheet or paste ups,"2013 Meeples' Choice Nominee, 2014 International Gamers Award - General Strategy: Multi-player Nominee",15,Best with 3 players,5680,7.85,1.36,617083
Suburbia,45,2012,Tile Placement,"City Building, Economic",Strategy Games,90 minutes,8 and up,10 and up,"Suburbia 5, Suburbia Inc, Suburbia: Con Tiles, Suburbia: Essen SPIEL Expansion",Moderate in-game text - needs crib sheet or paste ups,"2012 Meeples' Choice Nominee, 2013 Mensa Select Winner",14,Best with 3 players,9991,7.73,1.23,590207
Troyes,46,2010,"Area Control / Area Influence, Dice Rolling","Dice, Economic, Medieval",Strategy Games,90 minutes,12 and up,12 and up,"The Ladies of Troyes, Troyes: Bonus Cards",No necessary in-game text,"2010 Jogo do Ano, 2010 Jogo do Ano Nominee, 2011 As d'Or - Jeu de l'Anne Nominee, 2011 Deutscher Spiele Preis Best Family/Adult Game 3rd Place",24,Best with 3 players,8993,7.74,1.33,632427
Paths of Glory,47,1999,"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement","Wargame, World War I",Wargames,480 minutes,14 and up,14 and up,Paths of Glory Player's Guide,Extensive use of text - massive conversion needed to be playable,"1999 Charles S. Roberts Best Pre-World War II Boardgame Nominee, 1999 Charles S. Roberts Best Pre-World War II Boardgame Winner, 1999 Charles S. Roberts Best Wargame Graphics Nominee, 2000 International Gamers Awards - Historical Simulation",2,Best with 2 players,3129,8.04,1.67,707531
Ora et Labora,48,2011,"Modular Board, Pattern Building, Set Collection, Tile Placement","City Building, Economic, Industry / Manufacturing, Medieval",Strategy Games,150 minutes,13 and up,12 and up,Ora et Labora: Loamy Landscape,Some necessary text - easily memorized or small crib sheet,"2011 Jogo do Ano Nominee, 2011 Jogo do Ano Winner, 2011 Meeples' Choice Award, 2012 Best Gamer Game Critic Award",14,Best with 3 players,6110,7.81,1.36,581858
Commands & Colors: Ancients,49,2006,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter","Ancient, Wargame",Wargames,60 minutes,12 and up,12 and up,"Commands & Colors: Ancients Expansion Pack #1  Greece & Eastern Kingdoms, Commands & Colors: Ancients Expansion Pack #2  Rome and the Barbarians, Commands & Colors: Ancients Expansion Pack #3  The Roman Civil Wars, Commands & Colors: Ancients Expansion Pack #4  Imperial Rome",Moderate in-game text - needs crib sheet or paste ups,"2006 Charles S. Roberts Best Pre-World War II Boardgame Nominee, 2006 Golden Geek Best Wargame Nominee, 2006 Origins Awards Historical Board Game of the Year Winner, 2007 Golden Geek Best 2-Player Board Game Nominee",2,Best with 2 players,6112,7.83,1.42,1024108
Castles of Mad King Ludwig,50,2014,"Pattern Building, Set Collection, Tile Placement","Post-Napoleonic, Puzzle",Strategy Games,90 minutes,13 and up,10 and up,Castles of Mad King Ludwig: Secrets,Some necessary text - easily memorized or small crib sheet,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Family Board Game Nominee, 2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Solo Board Game Nominee",14,Best with 4 players,5333,7.85,1.15,383724
Stone Age,51,2008,"Dice Rolling, Set Collection, Worker Placement","Dice, Prehistoric","Family Games, Strategy Games",6090 minutes,10 and up,10 and up,"Schmuck und Handel (fan expansion for Stone Age), Stone Age: Casino, Stone Age: The Expansion, Stone Age: The New Huts",No necessary in-game text,"2008 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2008 Golden Geek Best Board Game Artwork/Presentation Nominee, 2008 Golden Geek Best Family Board Game Nominee, 2008 Golden Geek Best Gamer's Board Game Nominee",24,Best with 4 players,3,null,7.65,1.23
