name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Lost Legacy,1721,2013,"Lost Legacy: Merchant of Mystery (promo), Lost Legacy: Princess (promo), Lost Legacy: The Qualities of an Adventurer","Hand Management, Memory, Player Elimination","Bluffing, Card Game, Deduction",2030 minutes,10 and up,10 and up,"Lost Legacy: Binbo Tantei to Inbo no Shiro, Lost Legacy: Hyakunen Senso to Ryu no Miko",Moderate in-game text - needs crib sheet or paste ups,"Family Games, Party Games",26,Best with 4 players,474,null,6.60,1.41
Origin,1722,2013,Origin: Ranger Die,"Area Control / Area Influence, Area Movement, Hand Management, Set Collection","Exploration, Prehistoric",4560 minutes,8 and up,8 and up,,Some necessary text - easily memorized or small crib sheet,,24,Best with 4 players,null,1.12,58117,null
Article 27: The UN Security Council Game,1723,2012,,"Trading, Voting","Bluffing, Negotiation, Political",30 minutes,10 and up,10 and up,,No necessary in-game text,"Family Games, Thematic Games",36,Best with 6 players,459,null,6.66,1.37
Clubs,1724,2013,"Press Your Luck, Trick-taking",Card Game,Family Games,30 minutes,8 and up,6 and up,Climbing Games,No necessary in-game text,2014 Origins Awards Best Traditional Card Game Nominee,26,Best with 46 players,542,6.72,1.30,32588
Wacky Wacky West,1725,1991,"Tile Placement, Voting","American West, Bluffing, City Building",Family Games,3045 minutes,9 and up,8 and up,,Some necessary text - easily memorized or small crib sheet,"1991 Deutscher Spiele Preis Best Family/Adult Game 3rd Place, 1991 Spiel des Jahres Winner",24,Best with 4 players,1339,6.33,1.22,84998
Flowerpower,1726,2001,"Flowers, Kosmos two-player series, Solitaire Games",Tile Placement,Abstract Strategy,30 minutes,8 and up,6 and up,,No necessary in-game text,"Abstract Games, Family Games",12,Best with 2 players,462,null,6.61,1.29
Kill Doctor Lucky,1727,1996,Point to Point Movement,"Humor, Murder/Mystery",Family Games,45 minutes,12 and up,10 and up,"The Doctor Lucky Ambivalence Pack, Kill Doctor Lucky... and His Little Dog, Too!, Kill Doctor Lucky: Craigdarroch",Some necessary text - easily memorized or small crib sheet,1997 Origins Awards Best Abstract Board Game Winner,37,Best with 5 players,4660,6.16,1.49,224187
Cosmic Encounter,1728,2000,Variable Player Powers,"Bluffing, Card Game, Science Fiction","Strategy Games, Thematic Games",60 minutes,,10 and up,Cosmic Encounter,Moderate in-game text - needs crib sheet or paste ups,2001 Spiel der Spiele Hit mit Freunden Recommended,24,Best with 4 players,810,null,6.42,1.60
Hellas,1729,2002,"Admin: Better Description Needed!, Country: Greece, Kosmos two-player series","Area Control / Area Influence, Hand Management, Tile Placement","Ancient, Mythology",4560 minutes,12 and up,10 and up,,Moderate in-game text - needs crib sheet or paste ups,Strategy Games,2,Best with 2 players,1854,6.24,1.32,144918
Munchkin Apocalypse,1730,2012,"+10 Bag o' Munchkin d6, +6 Bag O' Munchkin Babes, +6 Bag O' Munchkins, +6 Bag o' Radioactive Munchkin d6","Dice Rolling, Hand Management, Variable Player Powers","Card Game, Fighting, Humor",90 minutes,10 and up,12 and up,Munchkin,Extensive use of text - massive conversion needed to be playable,,36,Best with 45 players,null,1.69,24418,null
