Assessing games complexity with a min rating of: 0.1 and a max rating of: 7.0, and a minimum popularity of: 1000 votes
number of extensively complex games, 87
number of slightly complex games, 135
number of moderately complex games, 95
number of unplayably complex games, 21
number of simple games, 429
